Site Name,Lat,Lon,Model,Experiment,Year,Avg Ann CFFDI,"DPY(12-25) ""High"" ","DPY(25-50) ""Very High""","DPY(50-75) "" Severe""","DPY(75-100) ""Extreme""","DPY(>100) ""Catastrophic"""
Adelaide,-34.92,138.62,CESM1-CAM5,rcp45,2030,3089.55,56.47,21.97,2.27,0.1,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp45,2050,3224.59,60.1,23.5,2.4,0.1,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp45,2070,3276.64,60,24.4,2.57,0.1,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp45,2090,3395.28,62.07,26,2.87,0.13,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp85,2030,3067.55,56.03,21.93,2.1,0.1,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp85,2050,3373.06,62.47,24.87,2.83,0.1,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp85,2070,3535.43,64.2,28.07,3.37,0.37,0
Adelaide,-34.92,138.62,CESM1-CAM5,rcp85,2090,3835.31,70.97,30.67,4.27,0.57,0.03
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp45,2030,3885.64,75.17,29.6,3.47,0.3,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp45,2050,3410.18,63.07,24.07,2.63,0.13,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp45,2070,3817.06,73.3,29.2,3.6,0.2,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp45,2090,3373.35,62.4,23.83,2.6,0.1,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp85,2030,3334.71,62.2,23.07,2.3,0.1,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp85,2050,3646.23,68.47,27.8,3.1,0.27,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp85,2070,3855.3,72.2,29.83,3.7,0.23,0
Adelaide,-34.92,138.62,GFDL-ESM2M,rcp85,2090,4464.98,88.3,35.43,5.43,0.7,0
Adelaide,-34.92,138.62,MIROC5,rcp45,2030,3033.36,56.4,21.83,1.9,0.1,0
Adelaide,-34.92,138.62,MIROC5,rcp45,2050,3015.08,56.2,21.6,2.03,0.07,0
Adelaide,-34.92,138.62,MIROC5,rcp45,2070,3050.83,56.63,22.3,2.1,0.1,0
Adelaide,-34.92,138.62,MIROC5,rcp45,2090,3126.1,58.03,23.23,2.23,0.1,0
Adelaide,-34.92,138.62,MIROC5,rcp85,2030,2985.28,55.37,20.97,1.93,0.07,0
Adelaide,-34.92,138.62,MIROC5,rcp85,2050,3083.34,57.5,22.6,2.1,0.1,0
Adelaide,-34.92,138.62,MIROC5,rcp85,2070,3088.01,57.13,22.93,2.23,0.1,0
Adelaide,-34.92,138.62,MIROC5,rcp85,2090,3085.11,56.1,23.67,2.3,0.1,0
Adelaide,-34.92,138.62,OBS,historical,1995,2942.49,54.2,19.93,1.7,0.03,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp45,2030,1474.66,14.53,2.4,0.27,0.03,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp45,2050,1610.59,19.5,2.63,0.33,0.07,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp45,2070,1767.71,23.8,3.23,0.37,0.07,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp45,2090,1774.35,23.93,3.33,0.47,0.07,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp85,2030,1579.56,18.6,2.63,0.37,0.03,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp85,2050,1974.22,30.53,3.87,0.57,0.07,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp85,2070,1974.22,30.53,3.87,0.57,0.07,0
Albany-AP,-34.94,117.8,CESM1-CAM5,rcp85,2090,2027.11,30,4,0.53,0.1,0
Albany-AP,-34.94,117.8,GFDL-ESM2M,rcp45,2030,2046.38,31.07,4.17,0.53,0.03,0
Albany-AP,-34.94,117.8,GFDL-ESM2M,rcp45,2050,1760.26,18.6,2.87,0.33,0.03,0
Albany-AP,-34.94,117.8,GFDL-ESM2M,rcp45,2070,2012.61,27.9,3.4,0.4,0.03,0
Albany-AP,-34.94,117.8,GFDL-ESM2M,rcp45,2090,1764.51,17.6,2.83,0.33,0,0
Albany-AP,-34.94,117.8,GFDL-ESM2M,rcp85,2030,1705.88,19.1,2.8,0.33,0.03,0
Albany-AP,-34.94,117.8,GFDL-ESM2M,rcp85,2050,2081.74,29.47,3.57,0.5,0.03,0
