STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.16,29.53,23.66,17.05,22.40,27.49,18.82,30.47,30.39,26.73,23.99,20.25,17.21,16.68,17.25,19.40,22.15,25.64,27.74
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2020-2039,20.65,24.33,22.18,16.74,19.29,23.50,17.77,24.64,25.37,24.13,22.69,19.73,17.74,16.22,16.26,17.83,18.85,21.20,23.15
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,30.32,36.71,29.34,22.78,32.46,34.92,25.72,37.70,36.51,34.11,29.40,24.50,21.44,22.22,24.68,29.03,32.47,35.90,35.94
AMBERLEY-AMO,040004,-27.63,152.71,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.04,31.73,28.07,23.38,29.00,30.80,25.28,32.23,31.48,30.64,28.32,25.25,22.85,22.97,24.32,27.05,29.26,30.68,31.45
BARCALDINE-POST-OFFICE,036007,-23.55,145.29,r1i1p1,rcp26,CESM1-CAM5,2020-2039,31.62,36.53,31.42,25.46,33.10,35.26,28.01,37.07,36.12,35.04,31.23,28.00,24.70,25.08,26.60,30.32,33.34,35.64,36.32
BATHURST-AGRICULTURAL-STATION,063005,-33.43,149.56,r1i1p1,rcp26,CESM1-CAM5,2020-2039,21.19,28.45,21.60,13.92,20.76,26.14,16.22,29.56,28.18,25.15,22.00,17.64,13.81,13.15,14.79,17.35,20.57,24.36,27.69
BIRDSVILLE-AIRPORT,038026,-25.9,139.35,r1i1p1,rcp26,CESM1-CAM5,2020-2039,31.89,38.94,31.52,23.90,33.19,36.94,26.84,39.63,38.59,36.61,31.27,26.68,23.17,23.15,25.39,29.58,33.05,36.95,38.57
BOULIA-AIRPORT,038003,-22.91,139.9,r1i1p1,rcp26,CESM1-CAM5,2020-2039,33.29,39.01,32.86,26.28,34.99,37.55,29.03,39.51,38.80,37.27,32.83,28.49,25.22,25.83,27.78,31.65,35.20,38.13,38.79
BOURKE-AIRPORT-AWS,048245,-30.04,145.95,r1i1p1,rcp26,CESM1-CAM5,2020-2039,28.71,36.38,28.36,20.85,29.25,33.99,23.44,37.26,35.82,32.70,28.54,23.84,20.54,19.91,22.09,25.28,28.96,33.50,36.07
BRIDGETOWN-COMPARISON,009510,-33.96,116.14,r1i1p1,rcp26,CESM1-CAM5,2020-2039,23.49,30.04,24.42,17.39,22.02,28.04,18.88,30.52,31.31,27.93,24.65,20.67,18.45,16.70,17.01,19.15,21.28,25.62,28.57
BRISBANE-AERO,040842,-27.39,153.12,r1i1p1,rcp26,CESM1-CAM5,2020-2039,26.11,29.41,26.64,22.20,26.21,28.57,23.65,29.82,29.60,28.77,26.78,24.38,22.06,21.85,22.68,24.57,26.36,27.71,28.77
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2020-2039,33.22,34.08,34.61,30.84,33.30,34.64,31.78,34.40,33.68,34.94,35.93,32.97,31.07,30.58,30.88,31.80,33.39,34.72,34.23
BUNDABERG-AERO,039128,-24.91,152.32,r1i1p1,rcp26,CESM1-CAM5,2020-2039,27.51,30.58,28.12,23.72,27.63,29.85,25.16,30.99,30.81,30.21,28.31,25.83,23.53,23.37,24.27,26.16,27.82,28.90,29.94
